# Note - 20374160
# ESC - E714011
# Poles - 2
# Gear Ratio - 1
# KV - 1100
# Graph Data - 13 Sessions - Saved Wednesday, January 22, 2014
# Start Of Session - Sample Time: 1.000
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Voltage Cutoff: 9.54
# Current Cutoff: 105.0
# Temperature Cutoff: 289.7
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage 
True        , True        , True        , True        , True        , True        , True        , True        , False       
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 83.4        , 0           , 15          , 0.00        
1.0016      , 0.784       , 11.32       , 0.000       , 0.0         , 81.9        , 5837        , 15          , 0.00        
1.0172      , 2.353       , 11.32       , 0.149       , 0.0         , 81.9        , 4303        , 15          , 0.00        
1.0486      , 5.882       , 11.32       , 0.000       , 0.0         , 81.9        , 19316       , 15          , 0.00        
1.2210      , 25.882      , 11.32       , 0.149       , 0.0         , 81.2        , 44481       , 15          , 0.00        
1.3150      , 36.471      , 11.32       , 0.149       , 0.0         , 81.9        , 63406       , 15          , 0.00        
1.8244      , 94.902      , 11.32       , 0.000       , 0.0         , 81.9        , 77630       , 15          , 0.00        
1.9263      , 100.000     , 11.32       , 0.000       , 0.0         , 81.9        , 82325       , 15          , 0.00        
1.9263      , 100.000     , 11.32       , 0.000       , 0.0         , 81.9        , 81995       , 15          , 0.00        
1.7069      , 86.667      , 11.32       , 0.000       , 0.0         , 81.9        , 80381       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 81.9        , 19028       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 81.9        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
1.5815      , 84.706      , 11.32       , 0.000       , 0.0         , 82.7        , 79753       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 81.9        , 16599       , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 82.7        , 0           , 15          , 0.00        
0.9467      , 0.000       , 11.32       , 0.000       , 0.0         , 81.9        , 0           , 15          , 0.00        
