	9	19	614	191
	17	35	611	187
	24	19	603	192
	23	22	604	192
	15	31	608	190
	38	31	614	199
	19	19	600	190
	19	25	615	179
	19	23	609	188
	24	31	609	187
	24	28	614	183
	20	30	595	177
	22	31	615	195
	15	30	615	192
	14	35	600	184
	31	33	593	192
	3	24	611	179
	15	38	608	195
	14	27	611	180
	28	39	610	191
	35	15	612	192
	28	31	600	190
	24	17	615	190
	23	39	616	191
	28	23	611	192
	20	16	600	188
	30	33	595	195
	24	40	600	188
	24	27	599	180
	24	38	608	177
	24	39	609	195
	28	24	611	187
	28	22	614	192
	6	33	611	191
	14	28	611	183
	22	16	606	188
	22	20	604	188
	31	32	615	192
	-2	30	606	196
	24	40	615	188
	25	31	603	191
	31	31	608	192
	14	12	600	195
	28	25	608	190
	15	31	620	190
	12	46	608	191
	23	27	614	192
	44	31	608	192
	24	28	607	184
	24	35	603	192
	8	39	595	188
	22	24	598	188
	28	15	598	190
	28	28	611	192
	22	31	604	185
	12	14	615	191
	31	31	615	190
	7	38	609	182
	12	35	608	198
	22	35	614	185
	16	8	595	179
	9	22	595	192
	19	16	612	192
	19	33	612	184
	12	28	591	177
	24	25	614	179
	14	28	603	172
	31	15	614	191
	31	35	603	176
	20	38	611	176
	19	23	608	176
	12	28	608	192
	23	24	611	176
	12	31	611	190
	7	24	600	190
	16	15	614	179
	7	24	598	184
	25	19	617	177
	31	24	607	195
	23	35	603	190
	15	38	600	183
	24	15	604	184
	23	30	608	179
	16	19	608	192
	12	32	611	176
	24	15	608	183
	24	28	615	190
	27	25	600	180
	7	12	616	188
	31	23	595	192
	19	30	608	179
	12	38	608	193
	19	28	609	199
	24	35	604	184
	24	30	615	193
	24	16	611	190
	22	46	607	191
	30	19	607	176
	19	31	614	195
	17	44	606	192
	19	33	620	192
	24	27	616	184
	33	27	617	182
	24	30	593	185
	20	30	604	188
	14	31	624	177
	27	30	611	192
	22	23	604	192
	22	35	604	180
	25	24	611	192
	28	24	596	192
	20	28	615	182
