	273	-40	551
	252	-11	543
	270	40	543
	248	6	551
	227	48	531
	255	0	535
	252	-4	563
	260	4	563
	271	1	563
	272	-15	547
	343	-4	542
	248	-1	544
	260	-13	564
	272	-2	560
	266	-1	544
	233	28	558
	220	41	505
	247	11	569
	248	27	532
	256	46	551
	263	22	576
	255	6	540
	268	1	515
	284	31	568
	263	-12	505
	251	1	548
	268	-1	527
	247	29	543
	260	12	524
	252	-29	540
	275	-7	572
	255	33	563
	246	-5	546
	231	14	536
	275	-4	540
	251	31	560
	286	33	544
	271	17	563
	268	3	540
	256	-13	568
	255	-4	556
	275	-13	547
	263	-32	547
	232	-5	543
	263	0	543
	248	1	524
	232	11	615
	273	21	571
	271	-10	579
	259	3	527
	259	20	552
	263	16	536
	270	-8	582
	267	-4	560
	248	39	548
	270	-10	536
	252	-4	529
	265	27	539
	255	12	518
	226	8	556
	271	3	550
	271	-4	579
	259	-2	543
	254	-16	528
	279	-3	543
	268	-16	536
	252	33	542
	231	88	556
	305	-8	547
	244	-76	553
	243	14	543
	260	17	551
	251	-73	559
	235	-8	537
	240	-9	552
	255	0	556
	-469	29	231
	-481	48	224
	-452	39	246
	-463	55	224
	-457	31	262
	-449	41	259
	-461	36	223
	-464	44	249
	-471	63	215
	-463	32	231
	-472	31	227
	-449	37	238
	-473	32	243
	-464	39	255
	-447	51	272
	-477	30	249
	-442	49	284
	-464	51	238
	-481	48	247
	-493	49	235
	-457	-41	259
	-484	34	238
	-497	33	236
	-477	61	235
	-489	33	270
	-449	31	238
	-487	19	263
	-472	56	265
	-456	31	241
	-457	40	211
	-464	39	233
	-450	56	254
	-440	44	235
	-473	49	255
	-450	-1	233
	-464	42	231
	-464	24	224
	-474	84	271
	-484	56	286
	-468	44	246
	-471	54	238
	-488	38	239
	-481	27	267
	-456	32	236
	-461	48	227
	-544	35	244
	-488	30	255
	-471	63	270
	-465	32	249
	-440	28	308
	-464	41	268
	-461	63	249
	-464	55	229
	-465	49	244
	-464	50	255
	-453	50	280
	-473	36	252
	-480	36	240
	-477	32	241
	-500	53	259
	-461	49	294
	-460	47	252
	-458	54	246
	-457	-17	247
	-485	53	247
	-468	27	270
	-461	54	284
	-471	59	241
	-485	7	219
	-456	60	231
	-440	39	240
	-468	55	244
	-464	20	225
	-480	43	264
	-447	64	268
	-441	48	239
	-481	66	248
	-449	63	267
	-476	33	268
	-466	32	223
	-466	55	255
	-488	61	264
	-477	36	259
	-457	31	260
	-484	31	227
	-461	48	240
	-452	36	252
	-488	46	240
